Device,Element,Linac Z (m)*,Control System Name*,PS String,PS Config,Imin Val,Imin Uom,Imax Val,Imax Uom,Bmin Val,Bmin Uom,Bmax Val,Bmax Uom
XCOR,XC21325,2059.297299,XCOR:LI21:325,,Individual,-8,A,8,A,-0.006,kG-m,0.006,kG-m
XCOR,XCDL13,3265.580259,XCOR:LTUS:228,,Individual,-6,A,6,A,-0.06,kG-m,0.06,kG-m
XCOR,XCDL17,3315.921517,XCOR:LTUS:368,,Individual,-6,A,6,A,-0.06,kG-m,0.06,kG-m
XCOR,XCUM3B,3550.874509,XCOR:LTUS:858,,Individual,-6,A,6,A,-0.06,kG-m,0.06,kG-m
YCOR,YCD3B,3733.507684,YCOR:DMPS:391,,Individual,-6,A,6,A,-0.109,kG-m,0.109,kG-m
YCOR,YC07,2027.563753,YCOR:IN20:522,,Individual,-8,A,8,A,-0.006,kG-m,0.006,kG-m
YCOR,YCS1,2032.615702,YCOR:IN20:912,,Individual,-8,A,8,A,-0.006,kG-m,0.006,kG-m
YCOR,YC22803,2220.7369,YCOR:LI22:803,,Individual,-6,A,6,A,-0.07,kG-m,0.07,kG-m
YCOR,YC23603,2297.5,YCOR:LI23:603,,Individual,-6,A,6,A,-0.07,kG-m,0.07,kG-m
YCOR,YC23703,2309.9671,YCOR:LI23:703,,Individual,-6,A,6,A,-0.07,kG-m,0.07,kG-m
YCOR,YC25803,2525.39,YCOR:LI25:803,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
YCOR,YC26603,2602.4608,YCOR:LI26:603,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
YCOR,YC28603,2805.61,YCOR:LI28:603,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
YCOR,YC28803,2830.19,YCOR:LI28:803,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
YCOR,YC29803,2931.8794,YCOR:LI29:803,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
YCOR,YCDL21,3363.827779,YCOR:LTUS:499,,Individual,-6,A,6,A,-0.06,kG-m,0.06,kG-m
BEND,BCX14883,1420.128335,BEND:LI14:883,BCX14796,String,0,A,180,A,0.0087,GeV/c,5.4975,GeV/c
BEND,BCX14796,1408.075531,BEND:LI14:796,BCX14796,String Main,0,A,180,A,0.0085,GeV/c,5.5065,GeV/c
QUAD,QA10371,1006.1574,QUAD:IN10:371,,Individual,-6,A,6,A,-10.0899,kG,10.1369,kG
QUAD,CQ10121,1002.435607,QUAD:IN10:121,,Individual,-6,A,6,A,-0.0093,kG,0.0089,kG
XCOR,XC10121,1002.435607,XCOR:IN10:121,,Individual,-10,A,10,A,-0.0037,kG-m,0.0039,kG-m
